Url,Zestimate,Price,Rent Zestimate,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,City,Zip,State,Country,Broker Name,,sgapt,statusText,statusType
https://www.zillow.com/homedetails/43032-Sunset-Dr-Big-Bear-Lake-CA-92315/17620716_zpid/,577500,599000,2999,3,4,1651,SINGLE_FAMILY,43032 Sunset Dr,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/745-Eureka-Dr-Big-Bear-Lake-CA-92315/17385607_zpid/,472362,475000,1952,2,3,876,SINGLE_FAMILY,745 Eureka Dr,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/42998-Monterey-St-Big-Bear-Lake-CA-92315/17620641_zpid/,494232,499000,2329,2,3,1174,SINGLE_FAMILY,42998 Monterey St,Big Bear Lake,92315,CA,USA,PONCE & PONCE REALTY,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/986-Cameron-Dr-Big-Bear-Lake-CA-92315/17384891_zpid/,685294,699000,2961,3,4,1706,SINGLE_FAMILY,986 Cameron Dr,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/42876-Encino-Rd-Big-Bear-Lake-CA-92315/17620242_zpid/,860281,899900,3437,3,5,2400,SINGLE_FAMILY,42876 Encino Rd,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/422-Quail-Dr-Big-Bear-Lake-CA-92315/246340143_zpid/,703900,769900,2828,2,3,1504,SINGLE_FAMILY,422 Quail Dr,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/615-Thrush-Dr-Big-Bear-Lake-CA-92315/17618321_zpid/,873400,950000,4146,4,4,2436,SINGLE_FAMILY,615 Thrush Dr,Big Bear Lake,92315,CA,USA,Keller Williams Big Bear Lake Arrowhead,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/40238-Bonita-Ln-Big-Bear-Lake-CA-92315/69002037_zpid/,1300781,1350000,5484,3,4,2770,SINGLE_FAMILY,40238 Bonita Ln,Big Bear Lake,92315,CA,USA,KELLER WILLIAMS BBLA,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/107-Round-Dr-Big-Bear-Lake-CA-92315/17383145_zpid/,769000,794900,2463,2,3,1288,SINGLE_FAMILY,107 Round Dr,Big Bear Lake,92315,CA,USA,VACASA REAL ESTATE,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/409-Glenwood-Dr-Big-Bear-Lake-CA-92315/333863109_zpid/,1507085,1649900,7730,4,5,3227,SINGLE_FAMILY,409 Glenwood Dr,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,New Construction,New construction,FOR_SALE
